2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:50:01 INFO [32527:../inc/iclust.c:170] Time:	 communities 0.000000
